,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
686,beats using a hard disk for boot up,,windows starts and is ready to use in about 15 seconds from power up with operating system installed on ssd faster copying moving of files no need for disk defragmentation,none yet,month,2016-11-12 08:26:23,5,2016,11,12
687,great drive amazing even until it died on me,it ll be hard getting a replacement for it only because i m torn from its track record of being great but i m not thrilled that it died within 2 years without a monstrous amount of data passed through,it gave me zero issues from the moment i received it until it randomly died more on that in cons super fast and easy to install and of course samsung magician made it that much easier,outside of the usual complaint of no mounting hardware being including the only yet fatal issue i had with this drive is that it failed after a random reboot while web browsing rebooted came up with no boot device tried multiple computers and none of them can recognize the drive in bios or windows,years,2016-11-11 08:19:51,3,2016,11,11
688,totally worth an arm and a leg,you know that they say once you go ssd you don t go back,it s fast it s pretty damn fast and yes it s very fast,it s now to hard to game with only one arm,,2016-11-11 00:18:52,5,2016,11,11
689,had this for less than a year and it died,,was very fast,very fast at failing,years,2016-11-07 14:41:37,1,2016,11,7
690,high praise and for good reason,people say that ssds are 10x faster than hdds for some tests yes for gaming no but my computer boots up in a fourth the time than my hdd and games do load at a minimum of twice the speed this is for ssds in general as for this one in particular it s a great choice high credibility user friendly etc i give this product the here s approval,the cloning process was fantastically use friendly and considerably fast for moving my 360 gigs of games and junk for people who don t want secondary storage this is the right choice,only thing i would like is a way to clone from the ssd if you wanted to create a backup drive of course this is possible via third party programs but with the great interface of samsung s data migration it would have been nice,year,2016-11-07 10:08:26,5,2016,11,7
691,safe investment,,solid lineup of drives no issues,none,year,2016-11-04 19:28:05,5,2016,11,4
692,this ssd rocks 20 sec windows 10 boot,fractal design define r5 titanium silent atx midtower computer case asus tuf sabertooth z170 s lga motherboard gigabyte nvidia gtx 770 gpu 4 gb from previous build evga supernova 750 g2 220 g2 0750 xr 80 gold 750w power supply intel core i7 6700k 8m skylake quad core 4 0 ghz desktop processor samsung 850 evo 2 5 1tb sata iii ssd samsung 850 evo 2 5 500gb sata iii ssd asus 24x dvd burner windows 10 home 64 bit,after much deliberation i settled on this 1tb ssd after considering different combinations of ssds and hdds i m happy with my decision and ended up buying another 850 evo 500gb to assist in copying files from my old pc and also to provide a data backup drive on the new pc with windows 10 loaded on the 850 evo 1tb ssd my pc start ups take 20 seconds or less i m noticing extremely fast loading when gaming this device lives up to the hype and i am happy with the performance considering that i didn t want to pay twice as much to go with the even faster 950,none,month,2016-11-04 18:30:30,5,2016,11,4
693,fast,10 10 would buy again,fast easy to set up,does not come with a ssd brack not enough to drop an egg but would have easily have paid an extra 5 10 to have a bracket included ssd casing feels really light and hollow a little weird not sure how to feel about the quality of the casing but again not enough to drop an egg works as advertised and still very sturdy,month,2016-11-04 05:40:47,5,2016,11,4
694,awesome product samsung really pulled through with this ssd,definitely worth every penny,i liked how small this harddrive is this baby is fast compared to my old 5200rpm installations was very simple you have different mounting locations,none,month,2016-11-03 05:45:04,5,2016,11,3
695,hands down the only ssd you should ever buy,just buy it why are you even still reading this you know you came to this page to get an ssd and after all i put here you should know this is obviously the best choice i don t know why you are even reading this after seeing the score before you came to the comments,one of the fastest on the market check speed ratings especially considering the price it s unbeatable reliable with a great warranty no moving parts which means less heat no noise faster loading booting downloading unlike the 750 it does come in larger capacities looks great love the color scheme also loving how it doesn t have an ugly sticker like most,expensive compared to hdds but definitely better then going to a black or performance hdd when considering they re both about the same price and this will outperform it in every respect not as fast as a 850 pro restricted to sata 6gb s speeds like all other sata ssds if you don t have one in your computer especially for your os all your friends family and neighbors will make fun of you due to your slow speeds questionable choices and ugly alternatives don t be that dude stuck in the past with inferior hardware get a samsung 850 evo,month,2016-11-01 14:29:33,4,2016,11,1
696,great product,i would recommend this product,good price,none,year,2016-11-01 11:08:47,5,2016,11,1
697,3 out of 5 failed out of the box,,2 worked for the short time we used them,bought 5 of these for a project at work tried to install an identical known working image onto all 5 for 2 of them dd couldn t even complete the 3rd one would never boot and post dd analysis showed bad missing filessytems then we tried performing normal normal installs of both windows 7 and linux opensuse on these disks with no luck also checked the disks for bad blocks but badblocks turned up empty my it department also tried getting one of their images onto one of the disks with whatever imaging software they use ghost with no success we were able to get images on to2 of the 5 but we decided not to use them based on the lack of reliability of the other 3 replaced all 5 with crucial disks as recommended by our it department and we didn t have any problems getting the images loaded and haven t had any operational problems yet either,,2016-10-31 16:27:54,1,2016,10,31
698,my second love it,i d buy more,bang for your buck speed is amazing,none,year,2016-10-31 12:00:34,5,2016,10,31
699,,if you aren t worried about the limited capacity it is an excellent solid state drive,fast okay capacity relatively cheap,limited space though it wasn t bought for the space primarily,year,2016-10-30 15:01:58,5,2016,10,30
700,my first ssd and i am now a fanboy,i installed this to house windows 10 and my current game of choice in this case fallout 4 clean install of windows took twelve minutes from power on to activated online when i hit the power button i am gaming in less than a minute map transitions average 10 seconds it s only been running for three days so i can t testify to failures that others have mentioned with ssds but it is looking good so far,the speed,nothing so far,week,2016-10-30 01:57:56,5,2016,10,30
701,works like a champ,,fast,costs more than others,year,2016-10-30 00:18:55,5,2016,10,30
702,awesome ssd,,great ssd,wish i could buy a much bigger ssd than 500gb,year,2016-10-29 20:02:02,5,2016,10,29
703,solid performance,make sure you have a means to mount the drive it does not come with a mounting adapter,decent speedgood storage sizeprice is acceptable,none yet,year,2016-10-29 11:13:16,5,2016,10,29
704,bad product filtered word service,no more samsung products in term of computer hardware my tv goes well at least,good when it work,broke after 6 month service are so painful for returning the disk that i just drop the ball samsung web interface are good to register product but impossible to do an rma with what a mess,years,2016-10-28 23:58:04,1,2016,10,28
705,,,fast,none,month,2016-10-28 13:37:23,5,2016,10,28
706,,,it works its fast,did not come with adapter tray,month,2016-10-27 13:25:28,4,2016,10,27
707,so far excellent,,the data migration software that came with this ssd made moving to it a breeze so far i am more than ecstatic about how it performs my laptop almost loads up as fast as i power it up,so far i haven t had any issues i m considering upgrading my son and wife s laptops to the same ssd,year,2016-10-25 07:50:37,5,2016,10,25
708,10 10 would drive again,as of this review i ve had this for about 3 weeks can t really comment on the cloning software as i have no used it but it does come with cloning software,very fast i have this ssd for my os installation and my pc boots to the login screen faster than my monitor can turn on,none so far i have seen no errors or excessive amounts of damaged sectors it may be too soon to say yet though,month,2016-10-24 11:04:27,5,2016,10,24
709,fast and reliable,would definitely buy again if i needed a drive in this form factor,i bought two of these and am very happy with them fast for a sata iii connection reliable no failures here after several months of use good value,speed is limited by the sata iii connection if m 2 is an option for you there are faster alternatives,years,2016-10-23 07:45:27,5,2016,10,23
710,title,500gb does not equal 500gb according to your computer allow me to explain all storage devices are measured in bytes but it s not the same byte that your os recognizes computers can only recognize a base 2 numbering system whereas we use a base 10 system the closest value to 1000 that can be reached in base 2 is 1024 or 2 10 hence 1 024 bytes 1 kilobyte1 048 576 bytes 2 10 2 10 or 2 20bytes 1 megabyte1 073 741 824 bytes 2 10 3 or 2 30 bytes 1 gigabytewhat we consider 500 gb is actually 5 10 11 bytes but a computer can only see it as 465 66 gb 5 10 11 2 30 thanks to this numbering system so technically it s not the drive manufacturers who are ripping you off it s a 17th century german mathematician and his obsession with chinese divination that s causing you to lose precious drive capacity it s also the industry fault for standardizing human bytes over computer bytes samsung is one of the only manufacturers to design and build all of the components inside their ssds giving them a significant cost and development advantage as all aspects of their ssds can be controlled in house only toshiba and intel have this top down control over their ssd production although they have used components from outside their company for lower end consumer drives the 850 evo is a product of samsung s industry advantage being the first consumer ssd that combined the affordable tlc flash structure with vertical nand or v nand density in layman s term samsung can not only make cheaper flash memory but they can cram more capacity in each package of flash memory reducing the number or flash packages needed for certain capacities and further driving down costs the 850 evo comes in both 2tb and 4tb versions thanks to the benefits of vertical scaling in flash capacity increasing both the capacity of each flash die and the density of dies per package they use the same number of flash packages as the 1tb 850 evo but are able to double or quadruple capacity thanks to this increase in number of dies and die capacity per package this may soon affect prices of future 850 evos under 2tb right now the 500gb samsung 850 evo uses 4 flash packages with 8 dies per package and a total capacity of 128 gigabit or 16 gigabyte per die that s 32 dies of 16 gigabyte each or 512gb of total capacity approximately 12gb is left out for over provisioning so that s 500gb of usable storage or 465gib of actual storage if samsung chooses to trickle down these denser nand packets the next iteration of the 500gb 850 evo will only have 2 flash packages with 16 dies per package and 16 gb per die based on the 2tb evo or even a single flash package with 16 dies and 32gb per die based on the 4tb evo whether that will lead to a significant price drop is yet to be seen since the denser die packages in the 2tb and 4tb evos are between 4 to 6 times the cost of the older evos packages,i think the internet is unanimous is pinning this drive as the standard to which all other tlc nand drives shall be judged it has the sequential read and write speed that rivals more expensive mlc nand prosumer drives but at a middle of the road cost samsung claims that the 500gb 850 evo could survive up to 150tb of writes in its lifetime that seems rather conservative as the nand wear i m experiencing on my most used 850 evo is 10 4tb total writes and it s b1 smart value is only 16 it s still at 100 of its total write lifespan even after 10000 hours of use i think the actual tbw lifespan for my oldest 850 evo could be up to 1200tb of writes your mileage may vary that s 48000 cycles of rage induced game uninstallation and subsequent buyer s guilt reinstallation still left in this tiny black box the higher write endurance would also explain the 5 year warranty on this drive it s not industry leading but it s much better than the 3 year warranties offered by nearly all of the 850 evo s competitors i liked it so much that i bought it twice,there is a problem with all tlc nand ssds whether they re planar or vertical low write speed and low write endurance low write speed a single tlc short for triple layer cell holds 3 bits of data over an mlc s multi layer cell s 2 bits that s 50 more bits of data over an mlc so it only needs two thirds of the cell count per die to hold the same amount of data but that extra bit means that a tlc holds 8 different states of charges in order to store information 000 001 010 011 100 101 110 111 an mlc only holds 4 different states 00 01 10 11 when an ssd reads from its flash cells it has to check each possible charge state in order to properly read the data so an mlc cell has to be checked for just four states but a tlc cell has to be checked for eight this triple bit charge state check doubles the amount of time it takes for the flash controller to check each cell hence why tlcs are inherently slower to read and write from this is also why almost every single consumer tlc nand ssd will have some sort of fast cache or memory installed next to the flash controller or integral to the flash packages and the 850 evo is no different it features the same turbowrite technology from the 840 evo where the cache is just parts of the tlc dies unlike the rest of the cells in the die these section of cells act like single layer cells or slcs as they store one bit per cell 0 or 1 rather than three making it four times as fast as tlcs and twice as fast as mlcs in the 500gb 850 evo this faux slc cache is just 6gb so any writes that exceeds this cache will revert to the tlc natural write speed you will only get the advertised 520mb s write speed and 90k random 4kb write qd32 within this 6gb cache the bright side is that the 500gb and higher 850 evos have a much more robust write performance compared to other tlc ssds sustaining 350 400 mb s on my two 850 evos after the cache has been exceeded i m not certain if it has to do with the fact that the ssd s mgx controller is fast enough to swap freely with the slc emulating cache or if each nand die on each package can be accessed much more efficiently but this is still within cheap mlc levels of write performance decent mlc ssds will probably perform much better in raid0 thanks to their higher write consistency low write endurance back to the three bit density of a tlc a single cell can hold 50 more bits than mlc but can only last a fraction as long because of it cell wear due to writes is actually wear caused by electrons migrating through the die in order to change charge stages for a write the cell must have a neutral charge in order for the charge states to be properly read but it can gain a negative charge over time as electrons get trapped inside the cell walls in order to compensate for this the voltage used to read the charges has to be increased to a specific level where the charge states can be properly read again imagine continuously adding salt and lemon juice into a soup to get the taste just right at some point you ll need to pour more water to reduce the salty citric flavor thanks to the increasing amount voltages needed to read the charge states there is a snowballing degradation of the cell as the charge state check takes longer and longer until the controller gives up on that cell and renders it useless to follow on the previous analogy adding more water causes the soup to take longer to boil again until your soup becomes a lukewarm flavorless briny lemon water and you pour the entire pot down the drain because tlcs are able to store more bits per cell you re adding an additional teaspoons of salt and lemon juice over the two teaspoons for an mlc your soup will become a disgusting lemon brine that much quicker compare the 850 evo s tbw lifespan with that of a similar capacity mlc ssd and you ll note that the expected life of those drives is often two to three times of that of the 850 evo even though neither of my 850 evos have lost a single percent of their wear lifespan that by no means implies that wear leveling will progress at the same rate for the rest of their lives the 150tb tbw samsung publishes might be a conservative estimate but a reported tbw rating is the lowest endurance that this product can handle don t take it lightly if you need longer guaranteed nand endurance look for mlc ssds from reputable manufacturers they will cost more and might even have slower reported speeds but there is no substitution if you push your ssds to the limits every day,years,2016-10-21 20:03:58,5,2016,10,21
711,updated died in less than 1 year of low use,currently going through the warranty return service which i guess is nice but i didn t pay more money for an ssd that would need to be repaired in less than a year one of the biggest reasons to buy an ssd is because of the sustainability of it due to no moving parts overall a pretty crummy experience will update once the issue is resolved,was great while it worked fast speeds easy to use etc,purchased it october 26th 2015 then on october 20th 2016 i came home to it 100 dead it isn t recognized as a storage device and doesn t work with multiple different cable setups tried whenever i try to bootup i just get the screen asking me to select a boot device which the ssd is no longer on that list considering it hasn t moved in my setup in months i m inclined to believe it s some kind of defect,year,2016-10-21 08:44:51,1,2016,10,21
712,dependable ssd,,works on ubuntu 16 04 like it s supposed to,doesn t include mounting screws including qty 4 m3 5mm machine screws would ve saved me a trip to the hardware store,year,2016-10-20 08:26:08,4,2016,10,20
713,super slow random read and write speeds,first i have used ssd s for many years now and have installed them in everything from gaming rigs to simple laptops i always run ssd s and no longer use any traditional hdd s whatsoever i have purchased crucial ocz munchkin and samsung ssd s typically the samsung benched the best but overall i have found that all of these other ssd s offered similar performance while in use and only really showed any difference in benchmarks sizes used were from 120g to 500g and everything in between now my problem with the 500g samsung evo 850 i installed this as an upgrade to my evo 850 250g drive if you read the specs the 500g drive shows a slight improvement in performance over the 250g but not much still the last thing i thought would happen is a huge drop in random read and write speeds these drives were both installed on an asus maximus vi hero motherboard with a i7 4790k cpu and low cas 8 1866 ram running on win 10 pro 64 bit i cloned the 500 g off of the 250 g using the samsung magician software the 500g speeds were 553 sequential read 528 sequential write decent speeds but the random read was down a bit at 71297 still not horrible but not even close to the 250g speeds the random write speeds were only 28610 btw that 28k number is the best i have ever managed with this drive the 250g 850 has 548 sq read 521 sq write 96887 ran read and 82967 ran write first i thought maybe a bad cable so i swapped the drive cables so that the 500g drive was using the same cables from the 250g and was even connected to the same sata port as the 250g was previously reran test same results from both drives the 250g performed great but the 500g drive still had the pitiful random performance as a result i contacted samsung support to see if they could offer a suggestion as to what was going on here i got the usual did you do this and did you do that responses no help whatsoever also their responses made some suggestions like what port was it in do you have a bad cable or connection clearly ignoring the simple and obvious fact that the 250g performed properly when connected to either of the sata ports while using either sets of cables so i m thinking maybe the cloning was to blame so now i m not wanting to wipe the 500g 850 so i decide to try all of the possible issues with windows setup no matter what settings i tried the drive speeds remained the same at least they are consistent so now i m left with the last option wipe the disk reformat and see if the cloning was to blame the 500g drive is now th storage drive with the 250g as the boot os drive i downloaded some games from steam after setting up the drive in disk management and reran the test again same horible random read and write speeds as before no change whatsoever clearly the disk is defective and it s poor performaance has zero to do with setup or cloning just a big waste of time thanks samsung my time may not be super valuable but it is worth something to me,it s black,poor random read and write speeds first with os cloned then wiped the ssd and used it as the storage drive without any os installed still same poor performance really disappointed samsung was absolutely no help whatsoever would not recommend samsung after the pitiful assistance they offered,year,2016-10-15 09:11:13,1,2016,10,15
714,lasted less than one year,i have one more of these running that has not died and is not showing signs of it take that for what you will 50 failure rate is pretty bad if you ask me,fast easy to install was detected by my bios correctly,failed after one year began to disappear from windows every few restarts i knew the end was close so i backed up what i could and soon thereafter it would bluescreen my computer whenever i accessed it it s in the trash now,years,2016-10-13 23:12:04,1,2016,10,13
715,samsung 850 evo 2 5 250gb sata iii 3 d vertical internal solid state drive ssd mz 75e250b am,,perfect fast,none,year,2016-10-13 18:25:20,5,2016,10,13
716,good ssd but only holds about 466 gb not 500,,it s samsung so it should be reliable it s an ssd so it s far faster than an hdd,shows in disk management that the total space this drive has is 465 76 gb that s 35 gigs short of advertised in my book that s space for 1 5 games which now i cannot have,week,2016-10-12 07:14:05,4,2016,10,12
717,samsung quality product that doesnt explode d,,paid 170 5 years warranty reliable fast,none,year,2016-10-12 06:52:39,5,2016,10,12
718,great ssd,i use it too boot windows and whatever games i m currently playing cuts load times considerably,fast good warranty software lets you customize performance to your specific needs,none,year,2016-10-12 05:26:39,5,2016,10,12
719,fast but unrelaible,i recommend buying something else,fast light no moving parts makes it great for laptpos,frequently does not start up on boot the sdd is not detected power cycling once or twice seems to get it going again but i fear some day it s just not going to start ever again that is very poor for a device less than a year old,year,2016-10-10 13:41:27,1,2016,10,10
720,whoa,bought this for my son he s been using an old ocz 120gig was for os mech drive for all other things prices came down so i jumped on this highly touted drive on all review sites wow my son loves it he had that ole problem with his mobile not seeing either safe after cloning but he didn t have to use repair disc before it showed up had to mount it externally in order to clone it then he downloaded magician and was very happy this drive makes his ole ocz look like the stuff dogdoo is made of i use crucial as my main drive and intel and crucial ssd drives for storage i m happy with them 240gig flavor but can t wait to buy this along with m 2 for my new build unless intel offers a software package like samsung i ll stick with this magician is also a maintenance program,the included software and samsung reputation period,package to small to include any fire water,month,2016-10-10 12:55:30,5,2016,10,10
721,amazing performance but same mtbf,,it will shock you if you are migrating from a wd raptor,still better back these up because i lost a sector in my 850 evo and had to use my wd velociraptor for awhile i was using acronis 2016 software,years,2016-10-10 08:41:03,5,2016,10,10
722,fast and reliable,i would definitely recommend this drive and would buy it again,increased speed from wd black regular hard drive the 850 evo has been constant and reliable for the past two years of use i would buy this again in a heartbeat and recommend it to all my friends,haven t experienced any cons after two years of use,year,2016-10-08 07:27:57,5,2016,10,8
723,works well lives up to the expectations of a sata based ssd,an excellent sata based ssd if the price is right moving forward sata ssds are going to become obsolete so i would imagine if you are investing top dollars for this ssd it wouldn t make much sense at the moment,fairly fast compared to tlc or mlc sata ssds sips power and increased the battery life of the laptop by about 30 mins in windows 10 seems to be fairly robust longevity wise,one of the two drives came with a deep scour mark over its casing poor quality control,year,2016-10-05 22:20:16,4,2016,10,5
724,fast good warranty,shipping was extremely fast however i would have preferred if it was not send in a glorified manila envelope as i received the package in pristine condition i chose not to remove an egg but potential buyers be warned,very easy to install performance is excellent samsung s warranty is excellent,rapid feature does not support windows 10 out of the box you must upgrade to the new magician software on samsung s website to enable it this may confuse some people who are new to building upgrading pc s,week,2016-10-05 10:27:02,5,2016,10,5
725,worked fantastic then died and samsung has no support for canadian customers,samsung is supposed to be the top tier when it comes to ssd drives but when they fail they do it with style your drive has no support paths in canada and you can t register it on the american site where there are support options for ssd s as it stands i have a drive that will randomly disconnect and then give disk read errors on boot buy a different brand one that actually has support for canadian customers,fast when it works,no support whatsover from samsung if the drive dies and you live in canada you re so out of luck,year,2016-10-03 11:53:50,1,2016,10,3
726,hello awesome,,can t go back to booting from a hard drive after installing this baby fast and effective i m in love,nothing yet our 1 year anniversary is coming up and still no problems,year,2016-10-03 11:16:26,5,2016,10,3
727,doesn t come with cable for data xfer,should come with data xfer cable it s not that expensive,seems to be good quality for the price,the instructions show how to use a usb to ssd cable to transfer programs data from an existing drive to this one and it appears from the instructions that the cable is supposed to come with it i spent a half hour looking around on my desk digging through the trash etc without luck i guess the cable isn t included i have a desktop so i can probably transfer files in windows but i m not sure that gets all hidden files but if you have a laptop you re going to want that cable,week,2016-10-01 14:18:58,3,2016,10,1
728,speeded up an old machine,i would recommend this product and would buy samsung ssd again,i put this in a machine using gigabyte m61p s3 with a 3 1 ghz amd athlon 64 x2 dual core boot up time is now 20 seconds still using windows 7 pro,there is no ahci in the bios for this motherboard which i believe causes the following a pop up message box is displayed after boot up saying that the samsung magician software is not communicating with the ssd i accepted the fact that this is happening but i contacted samsung support to see if there was some way to stop the message meaning some regedit alteration they said no,month,2016-09-30 21:27:51,3,2016,9,30
729,great product and easy to setup,bought this to replace my dad s work laptop hdd bought this size to match the setup he currently has the software made it a walk in the park to clone his drive i did have to go out and buy a usb to sata cable in order to make this happen so don t forget to buy one and then hold onto it for dear life once done i switched out the hard drives and it booted up faster and worked as if nothing had been changed i m thinking to buy another ssd for a future gaming rig though i debate what size to get definitely improves boot time,3 d vertical has good reviews concerning longevityimproved boot time over hddgood value for an ssdeasy to installcomes with software that makes cloning a drive so easy do read comments below for details,none,year,2016-09-29 16:10:12,5,2016,9,29
730,it s blazing fast,,fast cheap i got it for 125 00 the first time around,i didn t buy more,month,2016-09-28 21:58:36,5,2016,9,28
731,great ssd,,definitely very fast,none so far,years,2016-09-27 20:21:09,5,2016,9,27
732,great device,,faster than i thought brought my boot time on 5 year old laptop from 2 minutes with a hdd down to usable in less than 15 seconds extremely light and thin well worth the money,none,week,2016-09-26 12:44:04,5,2016,9,26
733,samsung 850 evo 2 5 250gb sata iii 3 d vertical internal solid state drive ssd mz 75e250b am,get the m 2 now that they are out,year later still performs flawless is fast samsung is the best for ssd,none,years,2016-09-26 02:10:50,5,2016,9,26
734,blazing fast i should have upgraded years ago,if you re even remotely thinking about an ssd and have the money to spend on one i d recommend you do it get enough storage for your os and your frequently used and resource heavy programs keep your mechanical drive for storage like games movies pcitures whatnot and enjoy the blistering load times,this is my first ssd and i don t know why i waited so long i knew when i freshened up my gaming rig i was going to reinstall on an ssd and just needed to decide which one to go with the overwhelming majority of reviews and suggestions seemed to recommend the samsung evo 850 so i gave it a go it s astonishing how quickly my system boots loads background processes and is ready to go no more waiting on chrome s bloated processes to load up before i can open a browser no more waiting to open resource intensive programs like photoshop or lightroom this thing is ridiculously fast even installing programs is blazing quick now this is one of the best computer related quality of life improvements i ve made,i can t think of a single thing i dislike about this drive well maybe one thing all storage drive manufacturers do it but the advertised capacity and the usable capacity are not the same i got the 500gb model and only 465gb are usable for storage it s not a big deal to me but it s just a thing that the industry does,month,2016-09-24 00:42:28,5,2016,9,24
735,love it,,easy to hook up and go very quick like the software that comes with it as well,it was not 3 tb for the same cost,year,2016-09-23 08:31:21,5,2016,9,23
736,best decision i have made in a while,you can t go wrong with this product and you won t regret the purchase once you start using it,i bought this ssd a couple of months ago and i couldn t be happier with my purchase i pretty much bought this drive so that i could install my entire steam library on not just one drive but on an extremely fast drive as well my library used to be installed on 2 different drives most of which was on a hdd the other ssd that was only a 128gb model and it was the drive i used for my windows boot drive i had all my programs installed on that drive so i didn t have much room left for my steam library except for a couple of small games games like gta v was stuck on a hdd which you don t need me to tell you that it was very slow to load now with my entire library on this ssd every game loads in a fraction of the time so if you re looking to put your steam library on a super fast drive like i did or even to use as a boot drive to run you computer faster you can t go wrong with this ssd i know i will buy another one if i need another one in the future so go ahead and buy one you won t regret it,it wasn t free,year,2016-09-22 20:59:03,5,2016,9,22
737,wow,kinda wish i got a bigger drive will look to purchase another once this is filled up,can t say enough good things about this ssd long time pc user gamer but finally built a new rig with this ssd and wow super fast boot times in os literally like 5 7 seconds and games always trust the samsung name and this drive hasn t let me down,none,month,2016-09-22 11:09:48,5,2016,9,22
738,super fast awesome upgrade,bought this as an upgrade for both my and my wife s pcs replaced a crucial m4 128gb in my machine and is accompanying a wd 1tb drive in my wife s drive installation was completed in a couple minutes on each machine and cloning took about 15 20 minutes the samsung cloning software was a breeze to use i imagine i could have used something better with more options but it did the job and did it in no time flat unhooked the old boot drives rebooted and everything just worked,samsung cloning software got me up and running in about than 20 30 minutes easy to install pretty reasonable size for os and my most played pc games,nothing that i can think of,month,2016-09-21 14:32:32,5,2016,9,21
739,fas light enegy efficient,as long as the reliability is there i will keep buying,comes with hard drive migration software works to boot up times are very fast clocked at 40sec hardly any lag time while running security scans and creating spreadsheets appears to use less energy i have no way to measure it reasonable price finally comes in black looks bad have an older version in a computer for 6 years now man that was expensive and it still works worth the money,need adapters for desktop computers uuummmmm color does not match my shirt,month,2016-09-21 05:20:00,5,2016,9,21
740,good ssd for great price,,cheap and reliable fast write and read,none,year,2016-09-19 20:38:29,5,2016,9,19
741,basic great easy ssd,buy one enjoy it was that easy i get 10 seconds power off to ready work on my windows 7 64bit system that i built for a work pc and all the programs hire up way fast than my gaming riggs,well if you have not tried a ssd on your system there is little you can do that will be such a visible boost in performance this is my first ssd and everything went just as it should no drivers needed easy install and best of all super speed,only con would be the price to size because obviously you can get a bigger hhd for the same price that would have much greater storage but you throw away your super speed for storage so in a cheaper system you can chose big storage speed or pay more and get more when the price of this tech comes down there will be no cons,month,2016-09-18 19:12:48,5,2016,9,18
742,great drive lousy software,when i built my son s system i put in a 1 tb hard drive and partitioned it into two 500 gb logical drives i suspect this is a somewhat common occurrence i setup the c drive with the system and he used it for productivity programs the d drive is mostly for games given the size of games the d drive became full in addition his boot time seemed to be excessive thus entered the 500gb samsung 850 evo the physical installation was simple one just has to make sure one has the cables and mounting hardware his case did not have a 2 5 inch bay but mounting hardware is dirt cheap one thing i would recommend is when purchasing sata cables get ones that are angled 90 on one end after the physical install come the problem the software that samsung provides will only do part of the job and that part is not really complete what should happen is that one should be able to run the software have it clone the c boot partition to the new ssd change the ssd to the c drive resize the d drive so it takes the entire mechanical disk without losing any data and change the boot status so the system boots from the ssd this software provided by samsung does not do by a long shot using the provided software you can clone the drive which take a very long time but that is it i ended up using paragon software partition manager 15 which was definitely up to the task given that part of the price is the company s software the ssd is definitely over priced,fast,expensivesoftware not worth the powder to blow it to kingdom come,,2016-09-17 18:42:50,2,2016,9,17
743,where s the usb sata wire,i hope it works i don t have great faith in samsung s qc qa not when i see what they did to my galaxy s5 and it isn t even the exploding type like the galaxy s7,working so far a good deal considering that for 150 three years ago you got 120 gigs not 500,instructions say usb sata wire is included so you can use the included disk to make a clone but the wire was not included i ordered one and then remembered that i have an old copy of acronis it s a more complicated process with acronis you have to hook up the extra drive and then boot on to the acronis disk etc pita,week,2016-09-17 16:38:22,3,2016,9,17
744,my second samsung ssd,i have bought two ssds from samsung and i recommend making the change to solid state whether your building a high end pc or just want to give your sluggish laptop a boost i have done both,faster than hddslighter than hddsmore durable than hdds100 silent due to no moving partssmall so it fits in a pc or even a laptop comes with software to move your os to the new drive,software on the included cd is not windows 10 compatible until it realizes it needs to update,year,2016-09-17 15:17:02,5,2016,9,17
745,so far it is excellent,easy to install i put this in my old macbook pro,far faster than my old standard hdd 15second start up 4 seconds to open most software from 1 30 and 45 seconds respectively easy to install light weight,n a,week,2016-09-17 13:36:48,5,2016,9,17
746,was suprised by the performance,,silent looks good and super fast compared to others in the price range,none so far,month,2016-09-17 09:54:29,5,2016,9,17
747,awesome ssd,really have no complaints with the drive tossed it in my samsung np 550 series laptop reinstalled windows and the performance difference was no contest unbelievable boot speeds lightning fast read and write speeds bit pricy but well worth the money you wont be dissapointed,very fast read write speed,bit pricy but not bad when on sale and well worth the money,month,2016-09-16 08:34:59,5,2016,9,16
748,great price extremely light and aside from no mounting plate awesome,in this day and age you d be a fool to not go ssd the fact that they will almost never fail should be enough but they also use very little power compared to standard drives they also have incredible speed both while in use and defragging good lord you defrag a 1tb 5400rpm drive and just head out for the day,light very very light i currently have a 256gb ssd same brand only 830 model and good lord this thing is a feather compared to the 256gb ssd huge storage obviously price is maybe not the best but in terms of ssd s i just kind of stick with samsung which is odd because i wont buy anything else they make lol,no mounting plate not a huge thing windows 7 at least will not recognize this out of the box need help ask i can explain how to make it so you know work the lightness though great made me feel nervous id break this putting it in hey i worry what can i say 300 clams is still 300 clams,week,2016-09-15 22:33:38,5,2016,9,15
749,smokin fast,replaced my 265gb samsung 830 pro as i needed more space i was surprised that this drive is noticeably quicker loading games not much but enough to notice,fast and stable what do you expect from samsungpainless install and drive migration,it wasnt free,year,2016-09-15 07:59:25,5,2016,9,15
750,a little pricey but a great ssd,recommended for anyone needing lots of ssd storage,used to store videos sits there and does it s job,not really a con but it gets lukewarm when it s really working,year,2016-09-15 06:01:03,5,2016,9,15
751,what an upgrade from a hdd,if you don t have small drive bays or a mounting bracket that can fit a 2 5 inch drive in your computer you ll need to buy a mounting kit they re pretty cheap and plastic is fine,this ssd was easy to install in my case and it works perfectly the boot times are exceptionally fast i never realized how much better an ssd is in comparison with a hdd it s also pretty much a plug and play drive but if you are upgrading from a hdd and keeping your hdd as storage you definitely should look into a tutorial before trying to install windows on the ssd i had a few issues and i thought it was the drive being faulty but once i got it working wow,none that i can think of,year,2016-09-13 17:50:51,5,2016,9,13
752,works like a charm,i love this product i wish i had bought two to be honest maybe next time,it does its job welli haven t had a single issue only had for a month though,none,year,2016-09-13 17:45:02,5,2016,9,13
